Metric		Current
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		259
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_PERCENTAGE		67.98
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_COUNT		32
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		122
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_PERCENTAGE		32.02
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_COUNT		4
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATES		70
DUPLICATION_NUMBER_OF_FILES_WITH_DUPLICATES		25
DUPLICATION_NUMBER_OF_DUPLICATED_LINES		1,058
DUPLICATION_NUMBER_OF_CLEANED_LINES		5,894
DUPLICATION_PERCENTAGE		17.95
UNIT_DUPLICATES_COUNT		2
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_BACKEND		244
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_BACKEND		244
DUPLICATION_PERCENTAGE_PRIMARY_BACKEND		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_FRONTEND		814
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_FRONTEND		814
DUPLICATION_PERCENTAGE_PRIMARY_FRONTEND		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_ROOT		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_ROOT		0
DUPLICATION_PERCENTAGE_PRIMARY_ROOT		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_JS		332
DUPLICATION_NUMBER_OF_CLEANED_LINES_JS		1,006
DUPLICATION_PERCENTAGE_JS		33
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_CSS		504
DUPLICATION_NUMBER_OF_CLEANED_LINES_CSS		2,682
DUPLICATION_PERCENTAGE_CSS		18.79
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_JSX		188
DUPLICATION_NUMBER_OF_CLEANED_LINES_JSX		2,095
DUPLICATION_PERCENTAGE_JSX		8.97
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_SQL		34
DUPLICATION_NUMBER_OF_CLEANED_LINES_SQL		88
DUPLICATION_PERCENTAGE_SQL		38.64
TOTAL_ANALYSIS_TIME_IN_MILLIS		117,831
